canonical_smiles,affinity_nM
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C4(C5CCC5)NC(=O)NC4=O)cc3)NC(=O)NC1=O)C2,0.17
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(NC(=O)C4CCN(C)CC4)cc3)NC(=O)NC1=O)C2,0.17
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4oc(C5(C)NC(=O)NC5=O)cc4c3)NC(=O)NC1=O)C2,0.18
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3cncc(NC(=O)C4CCN(C)CC4)c3)NC(=O)NC1=O)C2,0.18
CCN1CCN(C(N=O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cn2)CC1,0.18
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cccc(C(N=O)N4CCOCC4)c3)NC(=O)NC1=O)C2,0.18
CCN1CCN(C(N=O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)c(F)c5C4=O)NC(=O)NC3=O)cc2F)[C@@H](C)C1,0.18
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(Nc4c(N)c(=O)c4=O)cc3)NC(=O)NC1=O)C2,0.19
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(Nc4c(NCCN5CCOCC5)c(=O)c4=O)cc3)NC(=O)NC1=O)C2,0.19
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc([C@@]4(CN5Cc6ccc(OC)cc6C5=O)NC(=O)NC4=O)cc3)NC(=O)NC1=O)C2,0.19
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3cccnc3C)NC(=O)NC1=O)C2,0.19
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(=NO)N4CCCN(C(C)C)CC4)cc3)NC(=O)NC1=O)C2,0.19
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cccnc3N3CCOCC3)NC(=O)NC1=O)C2,0.19
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCNC[C@@H]4C)c(F)c3)NC(=O)NC1=O)C2,0.19
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4cn[nH]c4)nc3)NC(=O)NC1=O)C2,0.19
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(N4CCCCC4)nc3)NC(=O)NC1=O)C2,0.19
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCCC4)cc3)NC(=O)NC1=O)C2,0.19
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nc(-c5cccnc5)ccc4OC(C)=O)cc3)NC(=O)NC1=O)C2,0.195
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cccnc3-c3cnn(C)c3)NC(=O)NC1=O)C2,0.2
